company,date,close,open,high,low,vol.,change %,Error_Type
Beltone Financial Hld,2018-11-01,2.318,2.318,2.318,2.318,,0.0,Missing Values (NaN)
Fawry Banking and Payment,2019-08-07,1.47,1.47,1.47,1.47,,-74.87,Missing Values (NaN)
Tenth of Ramadan,2019-11-27,0.19,0.19,0.19,0.19,,-89.44,Missing Values (NaN)
Tenth of Ramadan,2019-11-28,0.19,0.19,0.19,0.19,,0.0,Missing Values (NaN)
Tenth of Ramadan,2019-12-01,0.19,0.19,0.19,0.19,,0.0,Missing Values (NaN)
Tenth of Ramadan,2019-12-02,0.19,0.19,0.19,0.19,,0.0,Missing Values (NaN)
Tenth of Ramadan,2019-12-03,0.19,0.19,0.19,0.19,,0.0,Missing Values (NaN)
Tenth of Ramadan,2019-12-04,0.19,0.19,0.19,0.19,,0.0,Missing Values (NaN)
Tenth of Ramadan,2019-12-05,0.19,0.19,0.19,0.19,,0.0,Missing Values (NaN)
Tenth of Ramadan,2019-12-08,0.19,0.19,0.19,0.19,,0.0,Missing Values (NaN)
Tenth of Ramadan,2019-12-09,3.58,3.58,3.58,3.58,,1764.0,Missing Values (NaN)
Tenth of Ramadan,2019-12-10,3.58,3.58,3.58,3.58,,0.0,Missing Values (NaN)
E-finance,2021-10-10,0.5,0.5,0.5,0.5,,-97.44,Missing Values (NaN)
E-finance,2021-10-11,0.5,0.5,0.5,0.5,,0.0,Missing Values (NaN)
E-finance,2021-10-12,0.5,0.5,0.5,0.5,,0.0,Missing Values (NaN)
E-finance,2021-10-13,0.5,0.5,0.5,0.5,,0.0,Missing Values (NaN)
E-finance,2021-10-14,0.5,0.5,0.5,0.5,,0.0,Missing Values (NaN)
E-finance,2021-10-17,0.5,0.5,0.5,0.5,,0.0,Missing Values (NaN)
E-finance,2021-10-18,0.5,0.5,0.5,0.5,,0.0,Missing Values (NaN)
E-finance,2021-10-19,13.98,13.98,13.98,13.98,,2696.0,Missing Values (NaN)
